species,stage,growthRate,growthUnit,growthMass,growthMassUnit,growthMassDryWet,growthTempKelvin,growthDataPosition,growthDataOBS,metabolicRate,metabolicUnit,metabolicMass,metabolicMassUnit,metabolicMassDryWet,metabolicTempKelvin,metabolicDataPosition,metabolicDataOBS,reference,,,
Sparus aurata,larvae,125.449831,ug_d,584.8728,ug,dry,292.65,fig 1b; p 2177,"only took data from 2.5 to 2.5 days in data thief; included an initial weight based on the model fit presented, so I could calclute growth rate for the first weight measurement; growth calculated as: instantaneousGrowth(584.8728,378.946,30.051,28.0276)",281.2812,nmolO2_h,584.8728,ug,dry,292.65,fig 5b; p 2179,only took data for approximate weights collected from fig1b,parra_g_2001_t204_2175,,,
Oncorhynchus tshawytscha,egg,1.217727392,mg_d,8.1899,mg,wet,278.15,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,2.5417,ugO2_h,8.1899,mg,wet,278.15,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,1.645961345,mg_d,33.0409,mg,wet,278.15,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,5.5884,ugO2_h,33.0409,mg,wet,278.15,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,0.997882443,mg_d,39.4425,mg,wet,278.15,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,5.968,ugO2_h,39.4425,mg,wet,278.15,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,2.91934626,mg_d,54.4192,mg,wet,278.15,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,6.6596,ugO2_h,54.4192,mg,wet,278.15,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,2.083130063,mg_d,67.5343,mg,wet,278.15,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,9.3493,ugO2_h,67.5343,mg,wet,278.15,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,1.067401956,mg_d,78.4392,mg,wet,278.15,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,12.146,ugO2_h,78.4392,mg,wet,278.15,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,4.674564545,mg_d,113.5987,mg,wet,278.15,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,19.8898,ugO2_h,113.5987,mg,wet,278.15,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,6.430687755,mg_d,142.3801,mg,wet,278.15,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,24.7654,ugO2_h,142.3801,mg,wet,278.15,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,4.704784361,mg_d,183.8915,mg,wet,278.15,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,34.1952,ugO2_h,183.8915,mg,wet,278.15,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,7.942953089,mg_d,302.7344,mg,wet,278.15,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,51.5266,ugO2_h,302.7344,mg,wet,278.15,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,3.095305993,mg_d,362.2375,mg,wet,278.15,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,68.3769,ugO2_h,362.2375,mg,wet,278.15,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,5.733078358,mg_d,468.4042,mg,wet,278.15,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,98.3241,ugO2_h,468.4042,mg,wet,278.15,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,0.592838143,mg_d,481.2715,mg,wet,278.15,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,92.5029,ugO2_h,481.2715,mg,wet,278.15,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,-1.011754148,mg_d,467.9321,mg,wet,278.15,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,82.4846,ugO2_h,467.9321,mg,wet,278.15,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,0.665060109,mg_d,7.7072,mg,wet,280.45,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,2.3934,ugO2_h,7.7072,mg,wet,280.45,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,1.129955553,mg_d,12.9891,mg,wet,280.45,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,3.3895,ugO2_h,12.9891,mg,wet,280.45,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,2.160686456,mg_d,24.241,mg,wet,280.45,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,5.9325,ugO2_h,24.241,mg,wet,280.45,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,2.525035496,mg_d,60.6136,mg,wet,280.45,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,11.5204,ugO2_h,60.6136,mg,wet,280.45,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,3.557552278,mg_d,79.3283,mg,wet,280.45,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,15.753,ugO2_h,79.3283,mg,wet,280.45,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,5.173920435,mg_d,106.2479,mg,wet,280.45,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,29.7015,ugO2_h,106.2479,mg,wet,280.45,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,7.480635253,mg_d,155.9483,mg,wet,280.45,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,34.2274,ugO2_h,155.9483,mg,wet,280.45,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,8.331728644,mg_d,206.7668,mg,wet,280.45,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,52.0251,ugO2_h,206.7668,mg,wet,280.45,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,-0.039507243,mg_d,206.4505,mg,wet,280.45,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,67.4922,ugO2_h,206.4505,mg,wet,280.45,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,13.43208439,mg_d,394.3469,mg,wet,280.45,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,121.4961,ugO2_h,394.3469,mg,wet,280.45,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,13.33035124,mg_d,479.1352,mg,wet,280.45,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,145.1469,ugO2_h,479.1352,mg,wet,280.45,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,0.566438301,mg_d,491.9923,mg,wet,280.45,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,127.7606,ugO2_h,491.9923,mg,wet,280.45,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,3.062656767,mg_d,40.7966,mg,wet,283.15,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,10.1729,ugO2_h,40.7966,mg,wet,283.15,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,2.180947054,mg_d,54.0982,mg,wet,283.15,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,11.7818,ugO2_h,54.0982,mg,wet,283.15,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,2.804266621,mg_d,61.9649,mg,wet,283.15,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,13.5918,ugO2_h,61.9649,mg,wet,283.15,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,2.024349049,mg_d,67.7738,mg,wet,283.15,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,14.9489,ugO2_h,67.7738,mg,wet,283.15,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,2.723982634,mg_d,80.3013,mg,wet,283.15,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,33.6864,ugO2_h,80.3013,mg,wet,283.15,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,9.637638357,mg_d,139.5375,mg,wet,283.15,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,45.9186,ugO2_h,139.5375,mg,wet,283.15,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,5.387394941,mg_d,345.0898,mg,wet,283.15,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,81.2656,ugO2_h,345.0898,mg,wet,283.15,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,3.030190073,mg_d,35.9207,mg,wet,283.35,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,8.5189,ugO2_h,35.9207,mg,wet,283.35,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,4.429524146,mg_d,50.8829,mg,wet,283.35,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,11.0826,ugO2_h,50.8829,mg,wet,283.35,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,2.840645559,mg_d,63.6122,mg,wet,283.35,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,14.1087,ugO2_h,63.6122,mg,wet,283.35,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,3.111059312,mg_d,80.267,mg,wet,283.35,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,18.9655,ugO2_h,80.267,mg,wet,283.35,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,6.088810672,mg_d,140.8176,mg,wet,283.35,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,52.4013,ugO2_h,140.8176,mg,wet,283.35,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,23.33033697,mg_d,216.6393,mg,wet,283.35,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,60.8312,ugO2_h,216.6393,mg,wet,283.35,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,10.86951396,mg_d,316.1974,mg,wet,283.35,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,120.4815,ugO2_h,316.1974,mg,wet,283.35,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,10.5054313,mg_d,391.8391,mg,wet,283.35,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,140.7264,ugO2_h,391.8391,mg,wet,283.35,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,2.887795098,mg_d,25.7564,mg,wet,285.65,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,7.878,ugO2_h,25.7564,mg,wet,285.65,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,3.897051327,mg_d,41.2893,mg,wet,285.65,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,10.4362,ugO2_h,41.2893,mg,wet,285.65,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,2.347794343,mg_d,55.5145,mg,wet,285.65,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,13.8982,ugO2_h,55.5145,mg,wet,285.65,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,7.939904845,mg_d,69.7156,mg,wet,285.65,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,21.4298,ugO2_h,69.7156,mg,wet,285.65,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,egg,9.202721072,mg_d,93.6255,mg,wet,285.65,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,24.7829,ugO2_h,93.6255,mg,wet,285.65,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,21.23734227,mg_d,129.8528,mg,wet,285.65,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,49.4035,ugO2_h,129.8528,mg,wet,285.65,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,12.33967499,mg_d,208.4897,mg,wet,285.65,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,75.0466,ugO2_h,208.4897,mg,wet,285.65,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,16.99998873,mg_d,281.8702,mg,wet,285.65,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,109.9617,ugO2_h,281.8702,mg,wet,285.65,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,0.148305625,mg_d,282.4628,mg,wet,285.65,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,138.4223,ugO2_h,282.4628,mg,wet,285.65,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,2.331225225,mg_d,291.6402,mg,wet,285.65,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,143.1437,ugO2_h,291.6402,mg,wet,285.65,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,-0.551921281,mg_d,289.9797,mg,wet,285.65,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,143.4181,ugO2_h,289.9797,mg,wet,285.65,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,12.2462748,mg_d,324.7164,mg,wet,285.65,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,127.0469,ugO2_h,324.7164,mg,wet,285.65,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,-5.826279514,mg_d,300.4837,mg,wet,285.65,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,137.4748,ugO2_h,300.4837,mg,wet,285.65,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,-0.456378214,mg_d,297.7328,mg,wet,285.65,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,90.2503,ugO2_h,297.7328,mg,wet,285.65,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Oncorhynchus tshawytscha,larvae,-1.612636826,mg_d,289.5563,mg,wet,285.65,fig 1; p 181,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,90.0398,ugO2_h,289.5563,mg,wet,285.65,fig 3; p 182,see rombough_pj_1994_f8_178_fig1_3_merged.R for details,rombough_pj_1994_f8_178,,,
Acipenser oxyrinchus,juvenile,0.000524,g_d,0.014,g,wet,298.69,table 3; p 608,"rates converted to grams; mass chosen at random between 8 and 30 mg - see methods, which Im assuming has wrong units",46.0845,mgO2_h,188.1,g,wet,298.69,table 1; p 606,only values at high dissolved O2; mass-specific rate converted to absolute rate,secor_dh_1998_f96_603,,,
Acipenser oxyrinchus,juvenile,0.000587,g_d,0.015,g,wet,298.62,table 3; p 608,rates converted to grams; mass chosen at random between 8 and 30 g - see methods,55.1372,mgO2_h,179.6,g,wet,298.62,table 1; p 606,only values at high dissolved O2; mass-specific rate converted to absolute rate,secor_dh_1998_f96_603,,,
Acipenser oxyrinchus,juvenile,0.000721,g_d,0.025,g,wet,292.88,table 3; p 608,rates converted to grams; mass chosen at random between 8 and 30 g - see methods,43.206,mgO2_h,189.5,g,wet,292.88,table 1; p 606,only values at high dissolved O2; mass-specific rate converted to absolute rate,secor_dh_1998_f96_603,,,
Acipenser oxyrinchus,juvenile,0.000719,g_d,0.029,g,wet,292.82,table 3; p 608,rates converted to grams; mass chosen at random between 8 and 30 g - see methods,51.5844,mgO2_h,249.2,g,wet,292.82,table 1; p 606,only values at high dissolved O2; mass-specific rate converted to absolute rate,secor_dh_1998_f96_603,,,
Cynoglossus semilaevis,juvenile,0.6417834,g_d,15.9503,g,wet,295.15,fig 1; p 125,"growth rates calculated as: instantaneousGrowth(15.9503, 13.5791, 4 , 1e-10)",113.9156,umolO2_h,15.9503,g,wet,295.15,fig 3a; p 127,converted mass-specific rates (per dry mass) to absolute rates in umolO2_h calculated as 34.0091 * (15.9503 wet mass)  * 0.21 (dry mass / wet mass) ; assuming 79% of moisture,tian_x_2010_a310_122,,,
Cynoglossus semilaevis,juvenile,1.0692688,g_d,19.7969,g,wet,295.15,fig 1; p 125,"growth rates calculated as: instantaneousGrowth(19.7969, 15.9503, 8 , 4)",136.9705,umolO2_h,19.7969,g,wet,295.15,fig 3a; p 127,converted mass-specific rates (per dry mass) to absolute rates in umolO2_h calculated as 32.9466 * (19.7969 wet mass)  * 0.21 (dry mass / wet mass); assuming 79% of moisture,tian_x_2010_a310_122,,,
Cynoglossus semilaevis,juvenile,1.5849523,g_d,30.1477,g,wet,295.15,fig 1; p 125,"growth rates calculated as: instantaneousGrowth(30.1477, 19.7969, 16, 8)",208.0999,umolO2_h,30.1477,g,wet,295.15,fig 3a; p 127,converted mass-specific rates (per dry mass) to absolute rates in umolO2_h calculated as 32.8699 * (30.1477 wet mass)  * 0.21 (dry mass / wet mass); assuming 79% of moisture,tian_x_2010_a310_122,,,
Cynoglossus semilaevis,juvenile,2.0060041,g_d,54.3913,g,wet,295.15,fig 1; p 125,"growth rates calculated as: instantaneousGrowth(54.3913, 30.1477, 32, 16)",329.7102,umolO2_h,54.3913,g,wet,295.15,fig 3a; p 127,converted mass-specific rates (per dry mass) to absolute rates in umolO2_h calculated as 28.8658 * (54.3913 wet mass)  * 0.21 (dry mass / wet mass); assuming 79% of moisture,tian_x_2010_a310_122,,,
Cynoglossus semilaevis,juvenile,3.0502226,g_d,121.4758,g,wet,295.15,fig 1; p 125,"growth rates calculated as: instantaneousGrowth(121.4758, 54.3913, 64, 32)",567.6033,umolO2_h,121.4758,g,wet,295.15,fig 3a; p 127,converted mass-specific rates (per dry mass) to absolute rates in umolO2_h calculated as 22.2503 * (121.4758 wet mass) * 0.21 (dry mass / wet mass); assuming 79% of moisture,tian_x_2010_a310_122,,,
Rutilus rutilus,larvae,0.000139465,g_d,0.0025,g,wet,293.15,table 1; p 502,"data for medium ration; mass converted to g, growth rates converted to absolute rates assuming a constant dry-wet mass ratio; growth calculated as instantaneousGrowth(0.0025, 0.002,  11, 7)",0.079,umolO2_h,0.0025,g,wet,293.15,table 1; p 502,"data for medium ration; mass converted to g, mass-specific rates converted to absolute rates",wieser_w_1988_f2_499,,,
Rutilus rutilus,larvae,0.000676085,g_d,0.0041,g,wet,293.15,table 1; p 502,"data for medium ration; mass converted to g, growth rates converted to absolute rates assuming a constant dry-wet mass ratio; growth calculated as instantaneousGrowth(0.0041, 0.0025, 14, 11)",0.10537,umolO2_h,0.0041,g,wet,293.15,table 1; p 502,"data for medium ration; mass converted to g, mass-specific rates converted to absolute rates",wieser_w_1988_f2_499,,,
Rutilus rutilus,larvae,0.00105282,g_d,0.0073,g,wet,293.15,table 1; p 502,"data for medium ration; mass converted to g, growth rates converted to absolute rates assuming a constant dry-wet mass ratio; growth calculated as instantaneousGrowth(0.0073, 0.0041, 18, 14)",0.18761,umolO2_h,0.0073,g,wet,293.15,table 1; p 502,"data for medium ration; mass converted to g, mass-specific rates converted to absolute rates",wieser_w_1988_f2_499,,,
Rutilus rutilus,larvae,0.001093026,g_d,0.0101,g,wet,293.15,table 1; p 502,"data for medium ration; mass converted to g, growth rates converted to absolute rates assuming a constant dry-wet mass ratio; growth calculated as instantaneousGrowth(0.0101, 0.0073, 21, 18)",0.27775,umolO2_h,0.0101,g,wet,293.15,table 1; p 502,"data for medium ration; mass converted to g, mass-specific rates converted to absolute rates",wieser_w_1988_f2_499,,,
Rutilus rutilus,larvae,0.002174938,g_d,0.0169,g,wet,293.15,table 1; p 502,"data for medium ration; mass converted to g, growth rates converted to absolute rates assuming a constant dry-wet mass ratio; growth calculated as instantaneousGrowth(0.0169, 0.0101, 25, 21)",0.34138,umolO2_h,0.0169,g,wet,293.15,table 1; p 502,"data for medium ration; mass converted to g, mass-specific rates converted to absolute rates",wieser_w_1988_f2_499,,,
Rutilus rutilus,larvae,0.000891386,g_d,0.0186,g,wet,293.15,table 1; p 502,"data for medium ration; mass converted to g, growth rates converted to absolute rates assuming a constant dry-wet mass ratio; growth calculated as instantaneousGrowth(0.0186, 0.0169, 27, 25)",0.41106,umolO2_h,0.0186,g,wet,293.15,table 1; p 502,"data for medium ration; mass converted to g, mass-specific rates converted to absolute rates",wieser_w_1988_f2_499,,,
Gadus morhua,juvenile,0.01173092,g_d,1.18,g,wet,283.15,table 1; p 1361,growth calculated as log(1.18/100 + 1),4.209,umolO2_h,0.69,g,wet,283.15,table 3; p 1364,standard rates converted absolute rates as 0.69*6.10,hansen_sl_2009_j74_1355,,,
Gadus morhua,juvenile,0.02088048,g_d,2.11,g,wet,283.15,table 1; p 1361,growth calculated as log(2.11/100 + 1),11.8082,umolO2_h,1.51,g,wet,283.15,table 3; p 1364,standard rates converted absolute rates as 1.51*7.82,hansen_sl_2009_j74_1355,,,
Gadus morhua,juvenile,0.03188619,g_d,3.24,g,wet,283.15,table 1; p 1361,growth calculated as log(3.24/100 + 1),13.5595,umolO2_h,2.35,g,wet,283.15,table 3; p 1364,standard rates converted absolute rates as 2.35*5.77,hansen_sl_2009_j74_1355,,,
Centropomus parallelus,juvenile,0.087,g_d,8.25,g,wet,298.15,table 3; p 36,,132,mgO2_d,8.25,g,wet,298.15,table 3; p 36,,lemos_d_2006_c144_33,,,
Centropomus parallelus,juvenile,0.031,g_d,6.66,g,wet,298.15,table 3; p 36,,125,mgO2_d,6.66,g,wet,298.15,table 3; p 36,,lemos_d_2006_c144_33,,,
Centropomus parallelus,juvenile,0.065,g_d,8.55,g,wet,298.15,table 3; p 36,,135,mgO2_d,8.55,g,wet,298.15,table 3; p 36,,lemos_d_2006_c144_33,,,
Centropomus parallelus,juvenile,0.037,g_d,7.55,g,wet,298.15,table 3; p 36,,131,mgO2_d,7.55,g,wet,298.15,table 3; p 36,,lemos_d_2006_c144_33,,,
Centropomus parallelus,juvenile,0.028,g_d,5.77,g,wet,298.15,table 3; p 36,,119,mgO2_d,5.77,g,wet,298.15,table 3; p 36,,lemos_d_2006_c144_33,,,
Centropomus parallelus,juvenile,0.09,g_d,9.16,g,wet,298.15,table 3; p 36,,139,mgO2_d,9.16,g,wet,298.15,table 3; p 36,,lemos_d_2006_c144_33,,,
Centropomus parallelus,juvenile,0.059,g_d,11.45,g,wet,298.15,table 3; p 36,,156,mgO2_d,11.45,g,wet,298.15,table 3; p 36,,lemos_d_2006_c144_33,,,
Centropomus parallelus,juvenile,0.039,g_d,7.84,g,wet,298.15,table 3; p 36,,132,mgO2_d,7.84,g,wet,298.15,table 3; p 36,,lemos_d_2006_c144_33,,,
Centropomus parallelus,juvenile,0.087,g_d,9.18,g,wet,298.15,table 3; p 36,,137,mgO2_d,9.18,g,wet,298.15,table 3; p 36,,lemos_d_2006_c144_33,,,
Centropomus parallelus,juvenile,0.008,g_d,2.93,g,wet,298.15,table 3; p 36,,100,mgO2_d,2.93,g,wet,298.15,table 3; p 36,,lemos_d_2006_c144_33,,,
