"length_inf_cm","length_type","k_1_over_y","t_not_years","sex","m_1_over_y","temperature","l_m","theta","country","locality","questionable","captive","species","family","data_type"
25.2,"FL",1.08,NA,NA,NA,23,NA,2.84,"Indonesia","Java Sea, off Pekalongan and Juwana","No","No","Decapterus russelli","Carangidae","length-frequencies"
26,"TL",0.73,NA,NA,NA,28.5,NA,2.69,"Philippines","Palawan","No","No","Decapterus russelli","Carangidae","length-frequencies"
26,"FL",0.186,NA,NA,NA,21.5,13,2.1,"India","Vizhinjam","Yes","No","Decapterus russelli","Carangidae","length-frequencies"
26,"FL",0.9,NA,NA,NA,12,NA,2.78,"Indonesia","Idi, Malacca Strait","No","No","Decapterus russelli","Carangidae","length-frequencies"
26,"TL",0.52,NA,NA,NA,27,NA,2.55,"","Nansha Is.(4°-9°N, 105°45'-112°15'E, 50-150 m)","No","No","Decapterus russelli","Carangidae","&nbsp"
26.6,"TL",0.95,NA,NA,NA,27,NA,2.83,"Indonesia","Java Sea (Seribu Island)","No","No","Decapterus russelli","Carangidae","length-frequencies"
26.9,"TL",0.69,NA,NA,NA,28.5,NA,2.7,"Philippines","Palawan","No","No","Decapterus russelli","Carangidae","length-frequencies"
27,"TL",0.8,NA,NA,NA,28.2,NA,2.77,"Philippines","Manila Bay","No","No","Decapterus russelli","Carangidae","length-frequencies"
27,"TL",1.15,NA,NA,NA,27,NA,2.92,"Indonesia","Jakarta Bay (Seribu Island)","No","No","Decapterus russelli","Carangidae","length-frequencies"
27,"TL",1.18,NA,NA,NA,27,NA,2.93,"Indonesia","Jakarta Bay (Seribu Island)","No","No","Decapterus russelli","Carangidae","length-frequencies"
27,"TL",1.01,NA,NA,NA,22.4,NA,2.87,"Malaysia","Perlis","No","No","Decapterus russelli","Carangidae","length-frequencies"
27.3,"NG",0.68,NA,NA,NA,25,NA,2.7,"Mozambique","Sofala Bank and Boa Paz (17°15'S - 21°20'S)","No","No","Decapterus russelli","Carangidae","length-frequencies"
27.8,"TL",0.573,-0.18,NA,NA,22.5,NA,2.65,"Mozambique","","No","No","Decapterus russelli","Carangidae","annuli on many otoliths"
27.9,"TL",0.562,0.18,NA,NA,25,NA,2.64,"Mozambique","","Yes","No","Decapterus russelli","Carangidae","others"
28.4,"FL",0.9,NA,NA,NA,29,NA,2.86,"Indonesia","Java Sea","No","No","Decapterus russelli","Carangidae","length-frequencies"
28.4,"",0.56,NA,NA,NA,NA,NA,2.65,"Malaysia","central area","No","No","Decapterus russelli","Carangidae","&nbsp"
28.4,"",1.08,NA,NA,NA,NA,NA,2.94,"Malaysia","north area","No","No","Decapterus russelli","Carangidae","&nbsp"
29.9,"TL",0.45,NA,NA,NA,27,13.7,2.6,"India","Northwest coast","No","No","Decapterus russelli","Carangidae","length-frequencies"
30,"TL",0.54,NA,NA,NA,28.2,NA,2.69,"Philippines","Manila Bay","No","No","Decapterus russelli","Carangidae","length-frequencies"
32.2,"",0.86,NA,NA,NA,NA,NA,2.95,"Malaysia","central area","No","No","Decapterus russelli","Carangidae","&nbsp"
33,"TL",0.45,NA,NA,NA,28.5,NA,2.69,"Philippines","Palawan","No","No","Decapterus russelli","Carangidae","length-frequencies"
33.7,"TL",0.36,NA,NA,NA,27,NA,2.61,"Philippines","Camotes Sea, Central Visayas","No","No","Decapterus russelli","Carangidae","length-frequencies"
33.7,"FL",0.65,NA,NA,NA,28.7,NA,2.87,"Philippines","Guimaras Strait","No","No","Decapterus russelli","Carangidae","length-frequencies"
35.1,"TL",1.4,NA,NA,NA,28,NA,3.24,"Philippines","Camotes Sea","Yes","No","Decapterus russelli","Carangidae","length-frequencies"
32.6,"TL",0.97,NA,NA,NA,28,NA,3.01,"Philippines","Camotes Sea, Visayas region","No","No","Decapterus tabl","Carangidae","length-frequencies"
10.3,"TL",0.371,-0.5,NA,NA,NA,6.4,1.6,"Turkey","?zmir Bay (38°40?N 26°31?E and 38°2?N 26°8?E), Aegean Sea","No","No","Deltentosteus quadrimaculatus","Gobiidae","annuli on many otoliths"
17.5,"TL",0.95,NA,NA,NA,28.3,NA,2.46,"Philippines","San Miguel Bay","No","No","Dendrophysa russelii","Sciaenidae","length-frequencies"
18.5,"TL",1.012,NA,NA,NA,28,NA,2.54,"Thailand","13°10'N 100°45'E, Gulf of Thailand","No","No","Dendrophysa russelii","Sciaenidae","&nbsp"
40.9,"FL",0.136,NA,"F",NA,17.5,NA,2.36,"Mauritania","","No","No","Dentex angolensis","Sparidae","&nbsp"
42.6,"NG",0.23,NA,"",NA,16,NA,2.62,"Sierra Leone","","No","No","Dentex angolensis","Sparidae","length-frequencies"
46.3,"FL",0.113,NA,"M",NA,17.5,NA,2.38,"Mauritania","","No","No","Dentex angolensis","Sparidae","&nbsp"
46.4,"TL",0.22,-0.28,"",0.62,17.5,NA,2.68,"Mauritania","Cape Blanc","No","No","Dentex angolensis","Sparidae","annuli on many otoliths"
70,"TL",0.173,NA,NA,NA,16,NA,2.93,"Ghana","Tema (50 m depth)","No","No","Dentex canariensis","Sparidae","length-frequencies"
85,"FL",0.15,NA,NA,NA,17.5,NA,3.03,"Morocco","Western Sahara region, 21-26°N, 0-100 m depth","No","No","Dentex canariensis","Sparidae","length-frequencies"
30.3,"TL",0.16,-0.81,NA,NA,17.5,NA,2.17,"Cape Verde","100 m depth","No","No","Dentex congoensis","Sparidae","annuli on many otoliths"
34,"NG",0.35,NA,NA,0.62,16,NA,2.61,"Sierra Leone","","No","No","Dentex congoensis","Sparidae","length-frequencies"
81.2,"TL",0.147,-2.37,"",NA,NA,NA,2.99,"France","Corsica","No","No","Dentex dentex","Sparidae","annuli on many otoliths"
84.4,"TL",0.1,-2.85,"M",NA,19,50,2.85,"Spain","Mallorca","No","No","Dentex dentex","Sparidae","annuli on many otoliths"
85.6,"TL",0.102,-2.87,"F",NA,19,34.6,2.87,"Spain","Mallorca","No","No","Dentex dentex","Sparidae","annuli on many otoliths"
95.1,"TL",0.077,-1.8,"M",NA,NA,NA,2.84,"Tunisia","Tunisian coasts","No","No","Dentex dentex","Sparidae","scale annual rings"
97.4,"TL",0.072,-1.93,"F",NA,NA,NA,2.83,"Tunisia","Tunisian coasts","No","No","Dentex dentex","Sparidae","scale annual rings"
86,"FL",0.19,NA,"",NA,22,NA,3.15,"Morocco","Western Sahara region, 21-26°N, 0-100 m depth","No","No","Dentex gibbosus","Sparidae","length-frequencies"
97,"TL",0.15,-0.17,"F",NA,17.5,34.7,3.15,"Canary Is.","Gran Canaria, Fuerteventura and Lanzarote","No","No","Dentex gibbosus","Sparidae","annuli on many otoliths"
100,"",0.149,NA,"",NA,NA,NA,3.17,"","","No","No","Dentex gibbosus","Sparidae","&nbsp"
103,"TL",0.146,-0.16,"M",NA,17.5,38.6,3.19,"Canary Is.","Gran Canaria, Fuerteventura and Lanzarote","No","No","Dentex gibbosus","Sparidae","annuli on many otoliths"
107,"TL",0.124,-0.6,"",NA,17.5,NA,3.15,"Mauritania","Cap Blanc","No","No","Dentex gibbosus","Sparidae","annuli on many otoliths"
24.3,"TL",0.399,-0.46,NA,NA,NA,11.8,2.37,"Turkey","?zmir Bay","No","No","Dentex macrophthalmus","Sparidae","annuli on many otoliths"
24.8,"FL",0.16,-1.77,"FALSE",NA,NA,15.1,1.99,"Angola","Namibe province","No","No","Dentex macrophthalmus","Sparidae","&nbsp"
30.9,"FL",0.06,-5.43,"FALSE",NA,NA,16.6,1.76,"Angola","Namibe province","No","No","Dentex macrophthalmus","Sparidae","&nbsp"
37.5,"TL",0.162,-1.32,NA,NA,17.5,NA,2.36,"Mauritania","Cap Blanc","No","No","Dentex macrophthalmus","Sparidae","annuli on many otoliths"
39,"TL",0.18,-0.88,NA,0.37,17.5,19.3,2.44,"Cape Verde","","No","No","Dentex macrophthalmus","Sparidae","annuli on many otoliths"
57,"FL",0.25,NA,NA,NA,17.5,NA,2.91,"Morocco","Western Sahara region, 21-26°N, 0-100 m depth","No","No","Dentex macrophthalmus","Sparidae","length-frequencies"
25.3,"TL",0.49,-0.3,"",NA,NA,15.8,2.5,"Turkey","Saros Bay (north Aegean Sea)","No","No","Dentex maroccanus","Sparidae","annuli on many otoliths"
30.2,"TL",0.16,-1.97,"M",NA,NA,NA,2.16,"Morocco","","No","No","Dentex maroccanus","Sparidae","&nbsp"
31.5,"TL",0.18,-1.63,"F",NA,NA,NA,2.25,"Morocco","","No","No","Dentex maroccanus","Sparidae","&nbsp"
32.5,"TL",0.18,-0.62,"",0.55,17.5,NA,2.28,"Cape Verde","","No","No","Dentex maroccanus","Sparidae","annuli on many otoliths"
33.9,"TL",0.184,-1.59,"M",NA,NA,NA,2.33,"Tunisia","Tunisian coasts","No","No","Dentex maroccanus","Sparidae","scale annual rings"
34.3,"TL",0.18,-0.49,"",NA,17.5,NA,2.33,"Mauritania","Cap Blanc","No","No","Dentex maroccanus","Sparidae","annuli on many otoliths"
35.9,"TL",0.156,-1.85,"F",NA,NA,NA,2.3,"Tunisia","Tunisian coasts","No","No","Dentex maroccanus","Sparidae","scale annual rings"
39,"FL",0.23,NA,"",NA,17.5,NA,2.54,"Morocco","Western Sahara region, 21-26°N, 0-100 m depth","No","No","Dentex maroccanus","Sparidae","length-frequencies"
30.6,"NG",0.25,NA,NA,NA,22,NA,2.37,"China","East and South China Sea","No","No","Dentex tumifrons","Sparidae","&nbsp"
34,"",0.308,NA,NA,NA,15,NA,2.55,"Japan","","No","No","Dentex tumifrons","Sparidae","&nbsp"
34.3,"TL",0.373,-0.37,NA,NA,20,NA,2.64,"Japan","East China Sea, `B'","No","No","Dentex tumifrons","Sparidae","&nbsp"
41.5,"TL",0.249,-0.3,NA,NA,22,NA,2.63,"Hong Kong","","No","No","Dentex tumifrons","Sparidae","&nbsp"
47.4,"TL",0.249,-0.3,NA,NA,20,NA,2.75,"Japan","East China Sea, `A'","No","No","Dentex tumifrons","Sparidae","&nbsp"
93.2,"TL",0.069,NA,NA,NA,20,NA,2.78,"Japan","East China and Yellow Sea","Yes","No","Dentex tumifrons","Sparidae","length-frequencies"
52.2,"SL",0.28,NA,"",NA,24,NA,2.88,"New Caledonia","","No","No","Diagramma pictum","Haemulidae","annuli on many otoliths"
59,"TL",0.24,NA,"",NA,26,NA,2.92,"Australia","","No","No","Diagramma pictum","Haemulidae","annuli on many otoliths"
60.6,"FL",0.29,-1.2,"M",NA,NA,30.7,3.03,"United Arab Em.","off Abu Dhabi","No","No","Diagramma pictum","Haemulidae","annuli on many otoliths"
63.8,"FL",0.23,-1.5,"F",NA,NA,31.8,2.97,"United Arab Em.","off Abu Dhabi","No","No","Diagramma pictum","Haemulidae","annuli on many otoliths"
64.3,"TL",0.244,NA,"",NA,23,NA,3,"New Caledonia","","No","No","Diagramma pictum","Haemulidae","annuli on many otoliths"
69.5,"TL",0.36,-0.14,"",NA,24,NA,3.24,"New Caledonia","lagoon","No","No","Diagramma pictum","Haemulidae","annuli on many otoliths"
83,"TL",0.17,0.03,"",NA,29,NA,3.07,"Yemen","Gulf of Aden","No","No","Diagramma pictum","Haemulidae","other annual rings"
6.9,"",3.81,NA,NA,NA,23.5,NA,2.26,"Sudan","off Northwest Africa","Yes","No","Diaphus dumerilii","Myctophidae","&nbsp"
7.5,"SL",1.825,-0.01,NA,3.5,22.5,5.2,2.01,"USA","Eastern Gulf of Mexico","No","No","Diaphus dumerilii","Myctophidae","daily otolith rings"
15.1,"SL",0.8,NA,NA,NA,NA,10.1,2.26,"India","Kerala coast","No","No","Diaphus watasei","Myctophidae","length-frequencies"
11.9,"FL",4.04,NA,NA,NA,20.5,NA,2.76,"Mexico","Huizache-Caimanero lagoon","No","No","Diapterus peruvianus","Gerreidae","length-frequencies"
20.4,"SL",0.666,NA,NA,NA,27,12,2.44,"Venezuela","south of Margarita Island","No","No","Diapterus rhombeus","Gerreidae","&nbsp"
22,"TL",2.196,NA,NA,NA,27.2,NA,3.03,"Puerto Rico","Southwest coast","No","No","Diapterus rhombeus","Gerreidae","&nbsp"
45.2,"TL",0.6,0.14,"M",NA,19,NA,3.09,"Algeria","Gulf of Annaba (7°16'N, 8°15'E)","Yes","No","Dicentrarchus labrax","Moronidae","scale annual rings"
52.2,"TL",0.22,-1.46,"",NA,NA,NA,2.78,"Egypt","Bardawil Lagoon, North Sinai","No","No","Dicentrarchus labrax","Moronidae","&nbsp"
54.9,"TL",0.18,NA,"M",NA,19,NA,2.73,"Tunisia","","No","No","Dicentrarchus labrax","Moronidae","&nbsp"
57.5,"TL",0.33,NA,"M",NA,19,NA,3.04,"France","Gulf of Lion","No","No","Dicentrarchus labrax","Moronidae","&nbsp"
59.7,"FL",0.17,NA,"",0.11,19,NA,2.78,"Tunisia","","No","No","Dicentrarchus labrax","Moronidae","&nbsp"
60.7,"TL",0.32,-0.18,"F",NA,19,NA,3.07,"Algeria","Gulf of Annaba (7°16'N, 8°15'E)","No","No","Dicentrarchus labrax","Moronidae","scale annual rings"
62.5,"TL",0.282,-0.16,"M",NA,19,NA,3.04,"France","off Sète","No","No","Dicentrarchus labrax","Moronidae","scale annual rings"
65.1,"TL",0.2,-1.13,"",NA,NA,NA,2.93,"Egypt","Bardawil lagoon, North Sinai","No","No","Dicentrarchus labrax","Moronidae","&nbsp"
65.2,"TL",0.24,-0.73,"",NA,NA,NA,3.01,"Egypt","Bardawil Lagoon, North Sinai","No","No","Dicentrarchus labrax","Moronidae","&nbsp"
65.9,"TL",0.22,-0.55,"M",NA,NA,NA,2.98,"Algeria","Mellah lagoon","No","No","Dicentrarchus labrax","Moronidae","scale annual rings"
70.4,"TL",0.14,-0.03,"M",0.1,10,34.5,2.84,"Ireland","","No","No","Dicentrarchus labrax","Moronidae","&nbsp"
70.8,"TL",0.35,-0.22,"",NA,NA,31.6,3.24,"Egypt","Bardawil lagoon, North Sinai","No","No","Dicentrarchus labrax","Moronidae","scale annual rings"
72,"NG",0.09,NA,"F",NA,12,NA,2.67,"UK","British Isles","No","No","Dicentrarchus labrax","Moronidae","&nbsp"
72.3,"TL",0.14,-0.2,"F",0.1,10,39,2.86,"Ireland","","No","No","Dicentrarchus labrax","Moronidae","&nbsp"
75.1,"NG",0.09,NA,"M",NA,12,NA,2.71,"UK","British Isles","No","No","Dicentrarchus labrax","Moronidae","&nbsp"
76.4,"TL",0.29,-1.9,"",NA,NA,NA,3.23,"Egypt","Bardawil Lagoon, North Sinai","No","No","Dicentrarchus labrax","Moronidae","&nbsp"
76.7,"TL",0.16,-0.97,"F",NA,NA,NA,2.97,"Algeria","Mellah lagoon","No","No","Dicentrarchus labrax","Moronidae","scale annual rings"
78,"TL",0.075,-1.76,"M",NA,19,20,2.66,"Egypt","Alexandria","No","No","Dicentrarchus labrax","Moronidae","scale annual rings"
78.5,"TL",0.228,-0.05,"F",NA,19,NA,3.15,"France","off Sète","No","No","Dicentrarchus labrax","Moronidae","scale annual rings"
83.4,"TL",0.19,NA,"F",NA,19,NA,3.12,"France","Gulf of Lion","No","No","Dicentrarchus labrax","Moronidae","&nbsp"
83.5,"TL",0.11,0.16,"M",NA,NA,NA,2.88,"Netherlands","western Dutch Wadden Sea","No","No","Dicentrarchus labrax","Moronidae","annuli on many otoliths"
86.7,"TL",0.33,0.04,"F",NA,NA,NA,3.39,"Egypt","Bardawil lagoon, North Sinai","No","No","Dicentrarchus labrax","Moronidae","&nbsp"
87.6,"TL",0.23,-0.12,"",NA,NA,NA,3.25,"Egypt","Bardawil lagoon, North Sinai","No","No","Dicentrarchus labrax","Moronidae","&nbsp"
87.8,"TL",0.061,-1.8,"F",NA,19,29,2.67,"Egypt","Alexandria","No","No","Dicentrarchus labrax","Moronidae","scale annual rings"
99.3,"TL",0.14,-0.46,"",NA,NA,NA,3.14,"Spain","Cadiz, fish ponds","No","Yes","Dicentrarchus labrax","Moronidae","scale annual rings"
105,"TL",0.089,-0.56,"",NA,22,NA,2.99,"Morocco","Casablanca to Agadir","No","No","Dicentrarchus labrax","Moronidae","scale annual rings"
106,"TL",0.07,NA,"M",NA,19,NA,2.9,"Tunisia","","No","No","Dicentrarchus labrax","Moronidae","&nbsp"
115,"TL",0.08,NA,"F",NA,NA,NA,3.02,"Netherlands","western Dutch Wadden Sea","No","No","Dicentrarchus labrax","Moronidae","annuli on many otoliths"
40,"TL",0.156,NA,NA,NA,19,NA,2.4,"Egypt","Port Said","No","No","Dicentrarchus punctatus","Moronidae","&nbsp"
103,"TL",0.066,-1.31,NA,NA,22,NA,2.85,"Morocco","Casablanca to Agadir","No","No","Dicentrarchus punctatus","Moronidae","scale annual rings"
50.3,"TL",0.191,NA,"M",0.29,17,31,2.68,"South Africa","Southwestern Cape","No","No","Dichistius capensis","Dichistiidae","&nbsp"
70.4,"TL",0.129,NA,"F",0.36,17,34,2.81,"South Africa","Southwestern Cape","No","No","Dichistius capensis","Dichistiidae","&nbsp"
23.7,"TL",0.38,NA,"M",NA,NA,18.2,2.33,"","South Mediterranean","No","No","Dicologlossa cuneata","Soleidae","&nbsp"
23.8,"TL",0.38,-0.88,"M",0.5,14,NA,2.33,"Algeria","","No","No","Dicologlossa cuneata","Soleidae","&nbsp"
24,"TL",0.343,NA,"M",NA,NA,18.2,2.3,"Spain","Gulf of Cadiz","No","No","Dicologlossa cuneata","Soleidae","&nbsp"
24.7,"TL",0.47,-0.3,"F",0.5,14,NA,2.46,"Algeria","","No","No","Dicologlossa cuneata","Soleidae","&nbsp"
24.7,"TL",0.47,NA,"F",NA,NA,18.2,2.46,"","South Mediterranean","No","No","Dicologlossa cuneata","Soleidae","&nbsp"
25.6,"TL",0.203,NA,"M",NA,NA,16,2.12,"","Bay of Biscay","No","No","Dicologlossa cuneata","Soleidae","&nbsp"
26.5,"TL",0.275,NA,"F",NA,NA,16,2.29,"","Bay of Biscay","No","No","Dicologlossa cuneata","Soleidae","&nbsp"
26.5,"TL",0.419,NA,"F",NA,NA,15,2.47,"Portugal","","No","No","Dicologlossa cuneata","Soleidae","&nbsp"
27,"TL",0.296,NA,"F",NA,NA,18.2,2.33,"Spain","Gulf of Cadiz","No","No","Dicologlossa cuneata","Soleidae","&nbsp"
27.7,"TL",0.284,NA,"M",NA,NA,15,2.34,"Portugal","","No","No","Dicologlossa cuneata","Soleidae","&nbsp"
32.3,"TL",0.126,NA,"F",NA,NA,18.2,2.12,"Morocco","","No","No","Dicologlossa cuneata","Soleidae","&nbsp"
35.5,"TL",0.101,NA,"M",NA,NA,18.2,2.1,"Morocco","","No","No","Dicologlossa cuneata","Soleidae","&nbsp"
25.7,"SL",0.52,NA,NA,NA,27,NA,2.54,"Colombia","Gulf of Salamanca","No","No","Diodon holocanthus","Diodontidae","length-frequencies"
27.7,"TL",1.5,NA,NA,NA,24.8,NA,3.06,"Mexico","Southern Gulf of Mexico (Veracruz to Yucatán)","No","No","Diplectrum formosum","Serranidae","length-frequencies"
31,"TL",0.287,NA,NA,NA,25,NA,2.44,"USA","Florida","No","No","Diplectrum formosum","Serranidae","annuli on many otoliths"
15.2,"TL",0.47,-0.07,"M",NA,NA,NA,2.04,"Spain","Mallorca","No","No","Diplodus annularis","Sparidae","annuli on many otoliths"
15.9,"TL",0.45,-0.12,"F",NA,NA,NA,2.06,"Spain","Mallorca","No","No","Diplodus annularis","Sparidae","annuli on many otoliths"
17.1,"TL",0.56,-0.02,"",0.5,16.8,NA,2.21,"France","Gulf of Lion","No","No","Diplodus annularis","Sparidae","scale annual rings"
17.2,"FL",0.21,-1.73,"F",NA,NA,11.2,1.79,"Turkey","Edremit Gulf","No","No","Diplodus annularis","Sparidae","annuli on many otoliths"
18.1,"TL",0.34,-0.5,"",NA,NA,NA,2.05,"Egypt","Alexandria","No","No","Diplodus annularis","Sparidae","&nbsp"
18.4,"FL",0.14,-2.94,"M",NA,NA,11.1,1.67,"Turkey","Edremit Gulf","No","No","Diplodus annularis","Sparidae","annuli on many otoliths"
19.5,"",0.46,NA,"",NA,NA,NA,2.24,"Algeria","Gulf d' Annaba","No","No","Diplodus annularis","Sparidae","scale annual rings"
20.1,"",0.21,-1.81,"",NA,NA,NA,1.93,"Greece","Thermaikos Gulf","No","No","Diplodus annularis","Sparidae","&nbsp"
20.4,"TL",0.544,-0.03,"",0.49,18,NA,2.35,"Spain","Catalan coast; M is for Medas Is., 1996-99","No","No","Diplodus annularis","Sparidae","annuli on many otoliths"
21,"FL",0.25,-1.45,"",NA,NA,NA,2.04,"Turkey","Izmir Bay","No","No","Diplodus annularis","Sparidae","&nbsp"
21.1,"TL",0.386,NA,"",NA,NA,NA,2.23,"Italy","Higher Tyrrhenian Sea","No","No","Diplodus annularis","Sparidae","length-frequencies"
21.9,"TL",0.125,NA,"M",NA,NA,NA,1.78,"Croatia","eastern middle Adriatic","No","No","Diplodus annularis","Sparidae","scale annual rings"
22.1,"TL",0.126,NA,"F",NA,NA,NA,1.79,"Croatia","eastern middle Adriatic","No","No","Diplodus annularis","Sparidae","scale annual rings"
22.5,"FL",0.159,-2.39,"",NA,NA,NA,1.91,"Turkey","Izmir Bay","No","No","Diplodus annularis","Sparidae","&nbsp"
22.6,"TL",0.173,-1.46,"",NA,NA,NA,1.95,"Croatia","Eastern Adriatic Sea","No","No","Diplodus annularis","Sparidae","scale annual rings"
22.6,"TL",0.16,-2,"",NA,NA,NA,1.91,"Tunisia","Gabes Gulf","No","No","Diplodus annularis","Sparidae","scale annual rings"
22.6,"",0.173,-1.46,"",NA,NA,9,1.95,"Croatia","E Adriatic","No","No","Diplodus annularis","Sparidae","&nbsp"
24,"TL",0.126,NA,"",NA,16.7,8,1.86,"Croatia","eastern middle Adriatic","No","No","Diplodus annularis","Sparidae","scale annual rings"
24.6,"TL",0.271,-0.88,"M",NA,21,10.3,2.21,"Canary Is.","off Gran Canaria","No","No","Diplodus annularis","Sparidae","annuli on many otoliths"
25,"TL",0.243,-0.9,"F",NA,21,12.8,2.18,"Canary Is.","off Gran Canaria","No","No","Diplodus annularis","Sparidae","annuli on many otoliths"
26,"FL",0.27,NA,NA,NA,22,NA,2.26,"Morocco","Western Sahara region, 21-26°N, 0-100 m depth","No","No","Diplodus bellottii","Sparidae","length-frequencies"
30.9,"FL",0.247,-1.05,NA,NA,21,21.1,2.37,"South Africa","Tsitsikamma coast","No","No","Diplodus capensis","Sparidae","annuli on many otoliths"
39,"",0.146,-2.15,NA,NA,NA,NA,2.35,"","","No","No","Diplodus cervinus","Sparidae","&nbsp"
59.4,"TL",0.156,-0.1,NA,NA,NA,32.7,2.74,"Canary Is.","Canary Islands","No","No","Diplodus cervinus","Sparidae","annuli on many otoliths"
68.8,"TL",0.105,-0.75,NA,NA,20,25,2.7,"Algeria","Golfe d’Annaba (36°57’55.78’’N-7°47’12.76’’E)","No","No","Diplodus cervinus","Sparidae","scale annual rings"
39.7,"FL",0.146,-2.15,NA,NA,21,28,2.36,"South Africa","Tsitsikamma coast","No","No","Diplodus hottentotus","Sparidae","annuli on many otoliths"
23.2,"TL",0.472,-0.25,NA,NA,NA,NA,2.4,"Tunisia","G. Gabes","No","No","Diplodus puntazzo","Sparidae","scale annual rings"
44.7,"TL",0.147,-1.86,"M",NA,22,NA,2.47,"Canary Is.","Gran Canaria","No","No","Diplodus sargus cadenati","Sparidae","annuli on many otoliths"
49.9,"TL",0.129,-2.33,"F",NA,22,NA,2.51,"Canary Is.","Gran Canaria Island","No","No","Diplodus sargus cadenati","Sparidae","annuli on many otoliths"
31,"",0.247,-1.05,"",NA,NA,NA,2.38,"","","No","No","Diplodus sargus sargus","Sparidae","&nbsp"
36.3,"TL",0.154,-0.49,"",NA,NA,20,2.31,"Algeria","Eastern coast","No","No","Diplodus sargus sargus","Sparidae","annuli on many otoliths"
41.7,"TL",0.245,-0.76,"",1.33,18,NA,2.63,"Spain","Catalan; M is for Medas Is (1996-99), Mediterranean","No","No","Diplodus sargus sargus","Sparidae","annuli on many otoliths"
46.7,"TL",0.115,-1.63,"",NA,19,NA,2.4,"France","Gulf of Lion","No","No","Diplodus sargus sargus","Sparidae","scale annual rings"
52.9,"TL",0.13,NA,"M",NA,18,NA,2.56,"Spain","Cantabrian Sea","No","No","Diplodus sargus sargus","Sparidae","&nbsp"
54.9,"TL",0.096,-2.06,"",NA,NA,NA,2.46,"Egypt","Alexandria","No","No","Diplodus sargus sargus","Sparidae","&nbsp"
57.6,"TL",0.1,NA,"F",NA,18,NA,2.52,"Spain","Cantabrian Sea","No","No","Diplodus sargus sargus","Sparidae","&nbsp"
23.5,"TL",0.224,-1.45,"",NA,NA,NA,2.09,"Tunisia","G. Gabes","No","No","Diplodus vulgaris","Sparidae","scale annual rings"
26.8,"FL",0.255,-0.61,"",NA,19,NA,2.26,"France","Gulf of Lion","No","No","Diplodus vulgaris","Sparidae","scale annual rings"
27.4,"TL",0.4,-0.77,"",NA,NA,NA,2.48,"Portugal","Southern coast","No","No","Diplodus vulgaris","Sparidae","&nbsp"
27.7,"TL",0.39,-0.34,"F",NA,NA,17.7,2.48,"Portugal","Algarve","No","No","Diplodus vulgaris","Sparidae","annuli on many otoliths"
27.7,"TL",0.4,-0.34,"",NA,NA,NA,2.49,"Portugal","Southern coast","No","No","Diplodus vulgaris","Sparidae","&nbsp"
28,"TL",0.253,-1.18,"",NA,NA,13.4,2.3,"Turkey","?zmir Bay","No","No","Diplodus vulgaris","Sparidae","annuli on many otoliths"
28.6,"TL",0.36,-0.38,"M",NA,NA,17.3,2.47,"Portugal","Algavre","No","No","Diplodus vulgaris","Sparidae","annuli on many otoliths"
28.8,"TL",0.389,-0.66,"",0.72,19,NA,2.51,"Spain","Catalan coast","No","No","Diplodus vulgaris","Sparidae","annuli on many otoliths"
31.3,"TL",0.258,-0.56,"",NA,NA,NA,2.4,"Egypt","Abu Qir Bay","No","No","Diplodus vulgaris","Sparidae","scale annual rings"
31.9,"",0.16,-1.94,"",NA,NA,NA,2.21,"Egypt","Mediterranean coast","No","No","Diplodus vulgaris","Sparidae","&nbsp"
33.5,"TL",0.17,-2.59,"",NA,NA,NA,2.28,"Italy","Strait of Sicily","No","No","Diplodus vulgaris","Sparidae","annuli on many otoliths"
34.5,"TL",0.18,-1.27,"",NA,NA,NA,2.33,"Portugal","Southern coast","No","No","Diplodus vulgaris","Sparidae","&nbsp"
37.8,"TL",0.18,-0.83,"",NA,NA,NA,2.41,"France","Gulf of Lion","No","No","Diplodus vulgaris","Sparidae","&nbsp"
39,"FL",0.4,NA,"",NA,22,NA,2.78,"Morocco","Western Sahara region, 21-26°N, 0-100 m depth","No","No","Diplodus vulgaris","Sparidae","length-frequencies"
39.7,"TL",0.231,-0.91,"",NA,22,NA,2.56,"Canary Is.","Gran Canaria I. (27°57'24''N, 15°35'23""W)","No","No","Diplodus vulgaris","Sparidae","annuli on many otoliths"
52,"TL",0.095,-2.84,"F",NA,15.6,19.1,2.41,"Croatia","eastern middle Adriatic, Croatian coast","No","No","Diplodus vulgaris","Sparidae","scale annual rings"
56.2,"TL",0.084,-2.92,"M",NA,15.6,18.5,2.42,"Croatia","eastern middle Adriatic, Croatian coast","No","No","Diplodus vulgaris","Sparidae","scale annual rings"
254,"TL",0.057,-1.63,NA,0.09,11,130,3.57,"France","Celtic Sea","No","No","Dipturus batis","Rajidae","other annual rings"
151,"OT",0.095,-1.06,NA,NA,11,NA,3.34,"New Zealand","South Island, east coast","No","No","Dipturus innominatus","Rajidae","other annual rings"
155,"TL",0.1,NA,NA,NA,NA,NA,3.38,"USA","Georges Bank","No","No","Dipturus laevis","Rajidae","other annual rings"
166,"TL",0.14,-1.29,NA,NA,NA,NA,3.59,"USA","George Bank (western North Atlantic)","No","No","Dipturus laevis","Rajidae","&nbsp"
256,"TL",0.04,-1.17,NA,NA,NA,83,3.42,"Turkey","Saros Bay, North Aegean Sea","Yes","No","Dipturus oxyrinchus","Rajidae","other annual rings"
